id,name,anchor_type,subtype,postcode,old_lat,old_lon,new_lat,new_lon,method,confidence,notes
75521f3a-4cd6-4e9c-8cfd-f85bfa3f1868,Appletree Gardens First School,school,primary,NE25 8XY,,,55.0373092,-1.4642436,nominatim_poi,60,Nominatim OK Nominatim POI match Overpass OK No entrance node; using POI location (likely centroid/site point)
15e8d63f-c290-4c90-b2e7-24afc925da22,Collingwood Primary School,school,primary,NE29 7QR,,,55.0082514,-1.4705866,overpass_entrance,85,Nominatim OK Nominatim POI match Overpass OK Entrance node found
9a6b074e-42e2-465b-b352-070575ae2519,Cullercoats Primary School,school,primary,NE30 4PF,,,55.0330429,-1.4341191,nominatim_poi,60,Nominatim OK Nominatim POI match Overpass failed: 504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter No entrance node; using POI location (likely centroid/site point)
55bb7963-782b-4a3d-ada1-27d74ee558a5,John Spence Community High,school,secondary,NE29 9PU,,,55.0220497,-1.4504895,nominatim_poi,60,Nominatim OK Nominatim POI match Overpass OK No entrance node; using POI location (likely centroid/site point)
6fdf3c44-8832-41c1-ad3f-0475600e50c4,King Edward Primary School,school,primary,NE30 2LU,,,55.0163431,-1.444458,nominatim_poi,60,Nominatim OK Nominatim POI match Overpass failed: 504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter No entrance node; using POI location (likely centroid/site point)
6f3dd9e3-67d3-4c44-8bc5-697b4042c07f,Kings Priory School,school,secondary,NE30 4RF,,,55.017268,-1.4269269,nominatim_poi,60,Nominatim OK Nominatim POI match Overpass failed: 504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter No entrance node; using POI location (likely centroid/site point)
7d8ad794-dc07-42dc-87d9-2a98fb3d1f95,Marden High School,school,secondary,NE30 3RZ,,,55.0279915,-1.4407909,overpass_entrance,85,Nominatim OK Nominatim POI match Overpass OK Entrance node found
253704c2-88f2-43ce-938d-8efaa10db39c,Marine Park First School,school,primary,NE26 1NE,,,55.0467599,-1.4489107,overpass_entrance,85,Nominatim OK Nominatim POI match Overpass OK Entrance node found
a799b1f6-53a2-4fc0-a279-a025f8be754d,Monkseaton High School,school,secondary,NE25 8NH,,,55.0304085,-1.4646744,nominatim_poi,60,Nominatim OK Nominatim POI match Overpass failed: 504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter No entrance node; using POI location (likely centroid/site point)
10d05593-5ca2-475a-bc4d-156e4b899323,Monkseaton Middle School,school,primary,NE25 8JW,,,55.039,-1.4639334,nominatim_poi,60,Nominatim OK Nominatim POI match Overpass failed: 504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter No entrance node; using POI location (likely centroid/site point)
