id,name,anchor_type,subtype,postcode,latitude,longitude,metadata,created_at
aa872eba-4833-4d2a-9855-7bdb41d6531f,North Shields Ferry Terminal,transport,ferry,NE29 6EE,55.0037688,-1.4455075,,2025-12-19 10:13:24.879826+00
cea65cf8-b456-4197-9649-a4abf79db27b,North Shields Metro Station,transport,metro,NE29 0BH,55.00851912,-1.448368056,,2025-12-19 10:13:24.879826+00
ccb0ac4e-7a97-42b6-845b-c23cfef8f67e,Percy Main Metro Station,transport,metro,NE29 6YE,54.9995953,-1.474585367,,2025-12-19 10:13:24.879826+00
483f1dd4-b16c-4b30-be99-a7d40af431c9,Shiremoor Metro Station,transport,metro,NE27 0QJ,55.03705978,-1.504762405,,2025-12-19 10:13:24.879826+00
c37c2d26-7312-4654-b649-666eb3a57147,Tynemouth Metro Station,transport,metro,NE30 4RF,55.01716209,-1.428167929,,2025-12-19 10:13:24.879826+00
cf824162-3c2f-4628-a833-abf456bb988f,West Monkseaton Metro Station,transport,metro,NE25 9DT,55.0403732,-1.476680767,,2025-12-19 10:13:24.879826+00
b0e487bf-6df9-45bd-aa0e-2cc44689a04d,Whitley Bay Metro Station,transport,metro,NE26 2QT,55.03999877,-1.442786631,,2025-12-19 10:13:24.879826+00
0eaee4ba-41fc-4189-8514-de39b680b7df,Northumberland Park Metro,transport,metro,NE29,55.03283169,-1.519920753,,2025-12-19 10:13:24.879826+00
77113211-df82-45b3-b114-f591f079f132,Tesco Extra North Shields (Norham Rd),amenity,supermarket,NE29,55.0107735,-1.4861766,,2025-12-19 10:13:24.879826+00
16ad86f3-23f0-43f1-a207-c84dac5c306d,Sainsbury’s Whitley Bay (Newstead Dr),amenity,supermarket,NE25,55.0441352,-1.480495264,,2025-12-19 10:13:24.879826+00
06e5a02c-64d2-472a-8115-6f250c0ad80a,Morrisons Whitley Bay (Hillheads Rd),amenity,supermarket,NE25,55.0403899,-1.4548958,,2025-12-19 10:13:24.879826+00
a62da04c-ae85-4f3a-b951-4e0762ac2c18,Morrisons North Shields (Collingwood Centre),amenity,supermarket,NE29,55.02479137,-1.456345731,,2025-12-19 10:13:24.879826+00
7f379dce-c41f-463f-b496-c24e1e6e4a18,Aldi North Shields (Hawkeys Ln),amenity,supermarket,NE29,55.01017221,-1.45676476,,2025-12-19 10:13:24.879826+00
ce3c83e5-b86e-4585-a56b-aa66b20ee801,Lidl North Shields / Preston Grange (Rake Ln),amenity,supermarket,NE29,55.0276842,-1.4627459,,2025-12-19 10:13:24.879826+00
7a5e79a1-162b-4790-b19b-251906babc5d,Whitley Bay Town Centre,spirit_point,village_center,NE26,55.04231737,-1.445591057,,2025-12-19 10:13:24.879826+00
27335471-3d69-4a93-a0f8-6d0469312b5a,North Tyneside General Hospital,health,hospital,NE29,55.02584621,-1.468073935,,2025-12-19 10:13:24.879826+00
2e63864f-70f0-4169-8287-3bc8b39fd09b,Whitley Bay Health Centre,health,gp_surgery,NE26,55.04145108,-1.439806502,,2025-12-19 10:13:24.879826+00
5b69f58e-bd5d-4a32-88e0-194ea1c48c88,Spring Terrace Health Centre,health,gp_surgery,NE29,55.01111928,-1.451317144,,2025-12-19 10:13:24.879826+00
9f3c7d8a-8b1a-4f6e-bf5b-5d6e1a2c9f01,Marine Avenue Surgery,health,gp_surgery,NE26,55.04393023,-1.457545445,,2025-12-19 10:13:24.879826+00
2a8e6c9f-3d4e-4c2b-9a71-8e2b6d9f5c44,Monkseaton Medical Centre,health,gp_surgery,NE25,55.03686438,-1.472984973,,2025-12-19 10:13:24.879826+00
6b0f1c2a-7e4d-4b3a-9c8e-1f5d7a0e9b62,Redburn Park Medical Centre,health,gp_surgery,NE29,55.00102646,-1.475069087,,2025-12-19 10:13:24.879826+00
d4b2f9e1-0c7a-4f1d-8e3b-6a5c9d2f7e18,Shiremoor Health Centre,health,gp_surgery,NE27,55.03771149,-1.505979385,,2025-12-19 10:13:24.879826+00
